ref_date,user_source,msgid,title,int_page_read_user,int_page_read_count,ori_page_read_user,ori_page_read_count,share_user,share_count,add_to_fav_user,add_to_fav_count
2016/5/31,0,2247483651_1,做铜，你需要了解这些选矿方法！,1,1,0,0,0,0,0,0
2016/6/1,0,2247483651_1,做铜，你需要了解这些选矿方法！,23,25,0,0,3,5,0,0
2016/6/1,0,2247483667_1,【铜铅锌必读】5月下旬铜铅锌炼厂矿山调研报告,1132,1468,0,0,117,158,26,26
2016/6/1,0,2247483667_2,新能源或成铜主要应用领域 铜消费增长潜力巨大,6,7,0,0,1,1,0,0
2016/6/1,0,2247483667_3,2016.6.1有色金属价格行情,125,158,0,0,4,8,0,0
2016/6/2,0,2247483651_1,做铜，你需要了解这些选矿方法！,0,0,0,0,0,0,0,0
2016/6/2,0,2247483690_5,爱易矿你真的会用么？,29,37,0,0,1,3,0,0
2016/6/2,0,2247483690_4,铅产业链人士必读┃这些你知道么？,46,52,0,0,4,6,3,3
2016/6/2,0,2247483690_3,有色企业再受环保拖累,282,313,0,0,20,23,2,2
2016/6/2,0,2247483690_2,未来铜价将继续下降的3个理由,42,50,0,0,3,3,0,0
2016/6/2,0,2247483690_1,【重磅】矿业未来在哪里?全球再现并购潮,85,106,0,0,9,13,0,0
2016/6/2,0,2247483667_3,2016.6.1有色金属价格行情,36,40,0,0,1,1,0,0
2016/6/2,0,2247483667_2,新能源或成铜主要应用领域 铜消费增长潜力巨大,15,18,0,0,2,2,0,0
2016/6/2,0,2247483667_1,【铜铅锌必读】5月下旬铜铅锌炼厂矿山调研报告,913,1123,0,0,76,94,16,18
2016/6/2,0,2247483690_6,2016.6.2有色矿产及金属价格行情,20,24,0,0,0,0,0,0
2016/6/3,0,2247483651_1,做铜，你需要了解这些选矿方法！,0,0,0,0,0,0,0,0
2016/6/3,0,2247483714_4,【干货】一图掌握锌产业链必备知识！,74,91,0,0,12,17,6,6
2016/6/3,0,2247483714_3,两大依据告诉你铜市的未来在哪里,13,14,0,0,1,1,0,0
2016/6/3,0,2247483714_2,【收藏】2016年5月铝冶炼厂成本调研报告,6,10,0,0,1,1,0,0
2016/6/3,0,2247483714_1,【有色】2016年什么金属最值得投资？,93,115,0,0,11,19,0,0
2016/6/3,0,2247483690_6,2016.6.2有色矿产及金属价格行情,10,10,0,0,0,0,0,0
2016/6/3,0,2247483690_5,爱易矿你真的会用么？,9,9,0,0,0,0,0,0
2016/6/3,0,2247483690_4,铅产业链人士必读┃这些你知道么？,8,8,0,0,1,1,0,0
2016/6/3,0,2247483690_3,有色企业再受环保拖累,379,410,0,0,14,18,0,0
2016/6/3,0,2247483690_2,未来铜价将继续下降的3个理由,14,14,0,0,0,0,0,0
2016/6/3,0,2247483690_1,【重磅】矿业未来在哪里?全球再现并购潮,24,26,0,0,0,0,0,0
2016/6/3,0,2247483667_3,2016.6.1有色金属价格行情,4,4,0,0,0,0,0,0
2016/6/3,0,2247483667_2,新能源或成铜主要应用领域 铜消费增长潜力巨大,0,0,0,0,0,0,0,0
2016/6/3,0,2247483667_1,【铜铅锌必读】5月下旬铜铅锌炼厂矿山调研报告,84,104,0,0,6,6,0,0
2016/6/3,0,2247483714_5,【行情】2016.6.3有色矿产及金属价格行情,42,50,0,0,4,4,0,0
2016/6/4,0,2247483651_1,做铜，你需要了解这些选矿方法！,0,0,0,0,0,0,0,0
2016/6/4,0,2247483714_4,【干货】一图掌握锌产业链必备知识！,444,517,0,0,44,50,49,49
2016/6/4,0,2247483714_3,两大依据告诉你铜市的未来在哪里,9,9,0,0,0,0,0,0
2016/6/4,0,2247483714_2,【收藏】2016年5月铝冶炼厂成本调研报告,290,341,0,0,32,43,18,18
2016/6/4,0,2247483714_1,【有色】2016年什么金属最值得投资？,43,43,0,0,2,2,0,0
2016/6/4,0,2247483690_6,2016.6.2有色矿产及金属价格行情,2,2,0,0,0,0,0,0
2016/6/4,0,2247483690_5,爱易矿你真的会用么？,7,8,0,0,0,0,0,0
2016/6/4,0,2247483690_4,铅产业链人士必读┃这些你知道么？,8,8,0,0,0,0,0,0
2016/6/4,0,2247483690_3,有色企业再受环保拖累,13,13,0,0,0,0,0,0
2016/6/4,0,2247483690_2,未来铜价将继续下降的3个理由,4,4,0,0,0,0,0,0
2016/6/4,0,2247483690_1,【重磅】矿业未来在哪里?全球再现并购潮,3,3,0,0,0,0,0,0
2016/6/4,0,2247483667_3,2016.6.1有色金属价格行情,0,0,0,0,0,0,0,0
2016/6/4,0,2247483667_2,新能源或成铜主要应用领域 铜消费增长潜力巨大,1,1,0,0,0,0,0,0
2016/6/4,0,2247483667_1,【铜铅锌必读】5月下旬铜铅锌炼厂矿山调研报告,33,43,0,0,3,3,2,2
2016/6/4,0,2247483714_5,【行情】2016.6.3有色矿产及金属价格行情,34,38,0,0,0,0,0,0
2016/6/5,0,2247483651_1,做铜，你需要了解这些选矿方法！,0,0,0,0,0,0,0,0
2016/6/5,0,2247483725_3,铝产业链必看｜分分钟了解铝的这些事,150,178,0,0,16,20,7,7
2016/6/5,0,2247483725_2,5大常用有色金属6月价格预测！,189,214,0,0,12,14,1,1
2016/6/5,0,2247483725_1,【大买卖！】买货卖货必须看！,527,711,0,0,24,84,5,5
2016/6/5,0,2247483714_5,【行情】2016.6.3有色矿产及金属价格行情,15,18,0,0,0,0,0,0
2016/6/5,0,2247483714_4,【干货】一图掌握锌产业链必备知识！,199,223,0,0,18,19,8,9
2016/6/5,0,2247483714_3,两大依据告诉你铜市的未来在哪里,12,12,0,0,0,0,0,0
2016/6/5,0,2247483714_2,【收藏】2016年5月铝冶炼厂成本调研报告,210,245,0,0,19,26,9,10
2016/6/5,0,2247483714_1,【有色】2016年什么金属最值得投资？,47,54,0,0,3,3,0,0
2016/6/5,0,2247483690_6,2016.6.2有色矿产及金属价格行情,5,5,0,0,0,0,0,0
2016/6/5,0,2247483690_5,爱易矿你真的会用么？,4,4,0,0,1,1,0,0
2016/6/5,0,2247483690_4,铅产业链人士必读┃这些你知道么？,3,4,0,0,0,0,0,0
2016/6/5,0,2247483690_3,有色企业再受环保拖累,7,8,0,0,0,0,0,0
2016/6/5,0,2247483690_2,未来铜价将继续下降的3个理由,1,1,0,0,0,0,0,0
2016/6/5,0,2247483690_1,【重磅】矿业未来在哪里?全球再现并购潮,1,1,0,0,0,0,0,0
2016/6/5,0,2247483667_3,2016.6.1有色金属价格行情,2,2,0,0,0,0,0,0
2016/6/5,0,2247483667_2,新能源或成铜主要应用领域 铜消费增长潜力巨大,0,0,0,0,0,0,0,0
2016/6/5,0,2247483667_1,【铜铅锌必读】5月下旬铜铅锌炼厂矿山调研报告,21,24,0,0,2,5,0,0
2016/6/5,0,2247483725_4,【宏观】26万亿，银行业大危局,49,55,0,0,3,3,0,0
2016/6/6,0,2247483651_1,做铜，你需要了解这些选矿方法！,0,0,0,0,0,0,0,0
2016/6/6,0,2247483714_5,【行情】2016.6.3有色矿产及金属价格行情,4,5,0,0,0,0,0,0
2016/6/6,0,2247483725_1,【大买卖！】买货卖货必须看！,164,210,0,0,6,12,1,1
2016/6/6,0,2247483725_2,5大常用有色金属6月价格预测！,95,114,0,0,3,3,0,0
2016/6/6,0,2247483725_3,铝产业链必看｜分分钟了解铝的这些事,61,72,0,0,2,3,2,2
2016/6/6,0,2247483725_4,【宏观】26万亿，银行业大危局,67,74,0,0,3,3,0,0
2016/6/6,0,2247483735_1,银精矿加工贸易解禁对中国铅市场的影响,135,149,0,0,11,13,0,0
2016/6/6,0,2247483735_2,铜精矿加工费较好 铜供应整体充裕,79,94,0,0,9,9,0,0
2016/6/6,0,2247483735_3,【行业】刚果第一季度铜产量下滑20%,12,12,0,0,1,1,0,0
2016/6/6,0,2247483735_4,中国锌冶炼企业将首次下调产量，进一步抬高锌价,77,88,0,0,10,10,0,0
2016/6/6,0,2247483735_5,【必看】买货卖货看这里！,83,124,6,8,5,16,0,0
2016/6/6,0,2247483714_4,【干货】一图掌握锌产业链必备知识！,27,32,0,0,1,1,0,0
2016/6/6,0,2247483714_3,两大依据告诉你铜市的未来在哪里,0,0,0,0,0,0,0,0
2016/6/6,0,2247483714_2,【收藏】2016年5月铝冶炼厂成本调研报告,49,67,0,0,2,2,4,4
