"ref_date","user_source","cumulate_user"
"2016-05-31",0,3
"2016-06-01",0,275
"2016-06-02",0,391
"2016-06-03",0,419
"2016-06-04",0,550
"2016-06-05",0,769
"2016-06-06",0,958
"2016-06-07",0,1057
"2016-06-08",0,1080
"2016-06-09",0,1085
"2016-06-10",0,1087
"2016-06-11",0,1086
"2016-06-12",0,1111
"2016-06-13",0,1117
"2016-06-14",0,1152
"2016-06-15",0,1200
"2016-06-16",0,1220
"2016-06-17",0,1236
"2016-06-18",0,1237
"2016-06-19",0,1237
"2016-06-20",0,1249
"2016-06-21",0,1264
"2016-06-22",0,1288
"2016-06-23",0,1299
"2016-06-24",0,1315
"2016-06-25",0,1318
"2016-06-26",0,1319
"2016-06-27",0,1337
"2016-06-28",0,1344
"2016-06-29",0,1371
"2016-06-30",0,1385
"2016-07-01",0,1525
"2016-07-02",0,1540
"2016-07-03",0,1553
"2016-07-04",0,1576
"2016-07-05",0,1606
"2016-07-06",0,1640
"2016-07-07",0,1656
"2016-07-08",0,1668
"2016-07-09",0,1668
"2016-07-10",0,1674
"2016-07-11",0,1679
"2016-07-12",0,1702
"2016-07-13",0,1855
"2016-07-14",0,1986
"2016-07-15",0,2027
"2016-07-16",0,2040
"2016-07-17",0,2049
"2016-07-18",0,2081
"2016-07-19",0,2156
"2016-07-20",0,2179
"2016-07-21",0,2227
"2016-07-22",0,2276
"2016-07-23",0,2308
"2016-07-24",0,2318
"2016-07-25",0,2351
"2016-07-26",0,2361
"2016-07-27",0,2372
"2016-07-28",0,2404
"2016-07-29",0,2451
"2016-07-30",0,2499
"2016-07-31",0,2528
"2016-08-01",0,2544
"2016-08-02",0,2603
"2016-08-03",0,2627
"2016-08-04",0,2669
"2016-08-05",0,2695
"2016-08-06",0,2737
"2016-08-07",0,2762
"2016-08-08",0,2792
"2016-08-09",0,2811
"2016-08-10",0,2868
"2016-08-11",0,2933
"2016-08-12",0,2960
"2016-08-13",0,2989
"2016-08-14",0,2997
"2016-08-15",0,3019
"2016-08-16",0,3039
"2016-08-17",0,3059
"2016-08-18",0,3083
"2016-08-19",0,3118
"2016-08-20",0,3124
"2016-08-21",0,3138
"2016-08-22",0,3156
"2016-08-23",0,3180
"2016-08-24",0,3212
"2016-08-25",0,3242
"2016-08-26",0,3259
"2016-08-27",0,3261
"2016-08-28",0,3280
"2016-08-29",0,3305
"2016-08-30",0,3324
"2016-08-31",0,3334
"2016-09-01",0,3358
"2016-09-02",0,3391
"2016-09-03",0,3406
"2016-09-04",0,3413
"2016-09-05",0,3423
"2016-09-06",0,3428
"2016-09-07",0,3477
"2016-09-08",0,3503
"2016-09-09",0,3542
"2016-09-10",0,3558
"2016-09-11",0,3562
"2016-09-12",0,3610
"2016-09-13",0,3639
"2016-09-14",0,3652
"2016-09-15",0,3658
"2016-09-16",0,3673
"2016-09-17",0,3679
"2016-09-18",0,3707
"2016-09-19",0,3772
"2016-09-20",0,3802
"2016-09-21",0,3844
"2016-09-22",0,3919
"2016-09-23",0,3949
"2016-09-24",0,3956
"2016-09-25",0,3971
"2016-09-26",0,4001
"2016-09-27",0,4047
"2016-09-28",0,4078
"2016-09-29",0,4121
"2016-09-30",0,4159
"2016-10-01",0,4164
"2016-10-02",0,4164
"2016-10-03",0,4167
"2016-10-04",0,4170
"2016-10-05",0,4176
"2016-10-06",0,4178
"2016-10-07",0,4194
"2016-10-08",0,4227
"2016-10-09",0,4267
"2016-10-10",0,4357
"2016-10-11",0,4457
"2016-10-12",0,4602
"2016-10-13",0,4692
"2016-10-14",0,4794
"2016-10-15",0,4811
"2016-10-16",0,4826
"2016-10-17",0,4876
"2016-10-18",0,4936
"2016-10-19",0,5042
"2016-10-20",0,5215
"2016-10-21",0,5277
"2016-10-22",0,5278
"2016-10-23",0,5305
"2016-10-24",0,5399
"2016-10-25",0,5468
"2016-10-26",0,5575
"2016-10-27",0,5642
"2016-10-28",0,5717
"2016-10-29",0,5725
"2016-10-30",0,5737
"2016-10-31",0,5794
"2016-11-01",0,5859
"2016-11-02",0,5940
"2016-11-03",0,6003
"2016-11-04",0,6081
"2016-11-05",0,6091
"2016-11-06",0,6093
"2016-11-07",0,6144
"2016-11-08",0,6231
"2016-11-09",0,6306
"2016-11-10",0,6343
"2016-11-11",0,6379
"2016-11-12",0,6399
"2016-11-13",0,6400
"2016-11-14",0,6443
