"ref_date","user_source","int_page_read_user","int_page_read_count","ori_page_read_user","ori_page_read_count","share_user","share_count","add_to_fav_user","add_to_fav_count"
"2016-05-31",0,1,4,0,0,0,0,0,0
"2016-05-31",5,1,13,0,0,0,0,0,0
"2016-06-01",0,130,209,0,0,132,188,32,34
"2016-06-01",1,407,551,0,0,0,0,0,0
"2016-06-01",2,945,1208,0,0,0,0,0,0
"2016-06-01",4,15,15,0,0,0,0,0,0
"2016-06-01",5,53,182,0,0,0,0,0,0
"2016-06-02",0,120,239,0,0,108,146,21,23
"2016-06-02",1,290,378,0,0,0,0,0,0
"2016-06-02",2,991,1206,0,0,0,0,0,0
"2016-06-02",4,9,11,0,0,0,0,0,0
"2016-06-02",5,24,272,0,0,0,0,0,0
"2016-06-03",0,62,197,0,0,45,67,7,7
"2016-06-03",1,93,116,0,0,0,0,0,0
"2016-06-03",2,547,618,0,0,0,0,0,0
"2016-06-03",4,5,9,0,0,0,0,0,0
"2016-06-03",5,1,244,0,0,0,0,0,0
"2016-06-04",0,31,67,0,0,77,98,66,69
"2016-06-04",1,284,338,0,0,0,0,0,0
"2016-06-04",2,511,609,0,0,0,0,0,0
"2016-06-04",4,12,24,0,0,0,0,0,0
"2016-06-04",5,2,137,0,0,0,0,0,0
"2016-06-05",0,228,471,0,0,80,175,28,32
"2016-06-05",1,411,518,0,0,0,0,0,0
"2016-06-05",2,618,780,0,0,0,0,0,0
"2016-06-05",4,30,57,0,0,0,0,0,0
"2016-06-05",5,5,240,0,0,0,0,0,0
"2016-06-06",0,201,444,8,14,41,80,8,8
"2016-06-06",1,175,223,0,0,0,0,0,0
"2016-06-06",2,401,547,0,0,0,0,0,0
"2016-06-06",4,14,44,0,0,0,0,0,0
"2016-06-06",5,13,440,0,0,0,0,0,0
"2016-06-07",0,185,419,15,17,53,82,9,10
"2016-06-07",1,117,137,0,0,0,0,0,0
"2016-06-07",2,603,718,0,0,0,0,0,0
"2016-06-07",4,15,28,0,0,0,0,0,0
"2016-06-07",5,5,275,0,0,0,0,0,0
"2016-06-08",0,170,346,5,10,44,71,4,4
"2016-06-08",1,74,104,0,0,0,0,0,0
"2016-06-08",2,452,543,0,0,0,0,0,0
"2016-06-08",4,6,20,0,0,0,0,0,0
"2016-06-08",5,6,328,0,0,0,0,0,0
"2016-06-09",0,104,200,1,1,15,18,2,2
"2016-06-09",1,16,20,0,0,0,0,0,0
"2016-06-09",2,185,224,0,0,0,0,0,0
"2016-06-09",4,1,5,0,0,0,0,0,0
"2016-06-09",5,3,220,0,0,0,0,0,0
"2016-06-10",0,69,99,0,0,6,7,1,1
"2016-06-10",1,12,18,0,0,0,0,0,0
"2016-06-10",2,142,156,0,0,0,0,0,0
"2016-06-10",4,2,5,0,0,0,0,0,0
"2016-06-10",5,4,147,0,0,0,0,0,0
"2016-06-11",0,98,137,0,0,13,14,3,3
"2016-06-11",1,17,20,0,0,0,0,0,0
"2016-06-11",2,107,126,0,0,0,0,0,0
"2016-06-11",4,2,3,0,0,0,0,0,0
"2016-06-11",5,3,232,0,0,0,0,0,0
"2016-06-12",0,131,264,0,0,21,49,2,2
"2016-06-12",1,57,59,0,0,0,0,0,0
"2016-06-12",2,293,359,0,0,0,0,0,0
"2016-06-12",4,8,34,0,0,0,0,0,0
"2016-06-12",5,2,573,0,0,0,0,0,0
"2016-06-13",0,131,253,6,6,15,29,0,0
"2016-06-13",1,36,49,0,0,0,0,0,0
"2016-06-13",2,135,173,0,0,0,0,0,0
"2016-06-13",4,5,51,0,0,0,0,0,0
"2016-06-13",5,4,305,0,0,0,0,0,0
"2016-06-14",0,182,340,4,5,68,87,8,8
"2016-06-14",1,326,388,0,0,0,0,0,0
"2016-06-14",2,549,642,0,0,0,0,0,0
"2016-06-14",4,8,23,0,0,0,0,0,0
"2016-06-14",5,4,295,0,0,0,0,0,0
"2016-06-15",0,160,328,1,1,56,95,5,6
"2016-06-15",1,168,190,0,0,0,0,0,0
"2016-06-15",2,652,752,0,0,0,0,0,0
"2016-06-15",4,9,42,0,0,0,0,0,0
"2016-06-15",5,2,315,0,0,0,0,0,0
