"ref_date","user_source","share_scene","share_count","share_user"
"2016-06-01",0,1,108,77
"2016-06-01",0,2,72,61
"2016-06-01",0,5,8,6
"2016-06-02",0,1,86,66
"2016-06-02",0,2,53,44
"2016-06-02",0,5,7,5
"2016-06-03",0,1,37,27
"2016-06-03",0,2,26,22
"2016-06-03",0,5,4,3
"2016-06-04",0,1,61,51
"2016-06-04",0,2,35,32
"2016-06-04",0,5,2,2
"2016-06-05",0,1,104,44
"2016-06-05",0,2,62,39
"2016-06-05",0,5,9,7
"2016-06-06",0,1,34,23
"2016-06-06",0,2,37,20
"2016-06-06",0,5,9,4
"2016-06-07",0,1,33,27
"2016-06-07",0,2,45,31
"2016-06-07",0,5,4,1
"2016-06-08",0,1,34,21
"2016-06-08",0,2,35,24
"2016-06-08",0,5,2,2
"2016-06-09",0,1,7,5
"2016-06-09",0,2,11,10
"2016-06-10",0,1,2,2
"2016-06-10",0,2,5,5
"2016-06-11",0,1,5,5
"2016-06-11",0,2,9,9
"2016-06-12",0,1,12,7
"2016-06-12",0,2,37,17
"2016-06-13",0,1,16,8
"2016-06-13",0,2,11,7
"2016-06-13",0,5,2,2
"2016-06-14",0,1,48,41
"2016-06-14",0,2,36,28
"2016-06-14",0,5,3,3
"2016-06-15",0,1,54,32
"2016-06-15",0,2,41,31
"2016-06-16",0,1,19,13
"2016-06-16",0,2,32,26
"2016-06-16",0,5,1,1
"2016-06-17",0,1,34,16
"2016-06-17",0,2,28,25
"2016-06-17",0,5,4,3
"2016-06-18",0,1,1,1
"2016-06-18",0,2,12,9
"2016-06-19",0,1,4,4
"2016-06-19",0,2,1,1
"2016-06-20",0,1,14,10
"2016-06-20",0,2,11,9
"2016-06-20",0,5,6,2
"2016-06-21",0,1,41,19
"2016-06-21",0,2,15,10
"2016-06-21",0,5,3,3
"2016-06-22",0,1,28,20
"2016-06-22",0,2,16,14
"2016-06-22",0,5,4,4
"2016-06-23",0,1,29,9
"2016-06-23",0,2,10,9
"2016-06-23",0,5,1,1
"2016-06-24",0,1,12,8
"2016-06-24",0,2,5,5
"2016-06-24",0,5,1,1
"2016-06-25",0,1,1,1
"2016-06-25",0,2,2,2
"2016-06-26",0,1,1,1
"2016-06-27",0,1,7,6
"2016-06-27",0,2,10,8
"2016-06-27",0,5,1,1
"2016-06-28",0,1,35,21
"2016-06-28",0,2,28,25
"2016-06-28",0,5,3,1
"2016-06-29",0,1,43,27
"2016-06-29",0,2,38,35
"2016-06-30",0,1,52,26
"2016-06-30",0,2,38,34
"2016-06-30",0,5,3,3
"2016-07-01",0,1,66,39
"2016-07-01",0,2,49,44
"2016-07-02",0,1,74,40
"2016-07-02",0,2,44,43
"2016-07-02",0,5,3,3
"2016-07-03",0,1,58,34
"2016-07-03",0,2,34,28
"2016-07-03",0,5,1,1
"2016-07-04",0,1,38,27
"2016-07-04",0,2,21,21
"2016-07-04",0,5,4,3
"2016-07-05",0,1,30,23
"2016-07-05",0,2,33,30
"2016-07-05",0,5,3,2
"2016-07-06",0,1,42,26
"2016-07-06",0,2,27,23
"2016-07-06",0,5,2,2
"2016-07-07",0,1,23,18
"2016-07-07",0,2,22,19
"2016-07-07",0,5,4,3
"2016-07-08",0,1,13,9
"2016-07-08",0,2,7,6
"2016-07-08",0,5,2,2
"2016-07-09",0,1,1,1
"2016-07-09",0,2,3,3
"2016-07-10",0,1,18,13
"2016-07-10",0,2,6,6
"2016-07-10",0,5,2,2
"2016-07-11",0,1,13,12
"2016-07-11",0,2,17,16
"2016-07-11",0,5,1,1
"2016-07-12",0,1,72,61
"2016-07-12",0,2,59,48
"2016-07-12",0,5,4,4
"2016-07-13",0,1,84,65
"2016-07-13",0,2,74,60
"2016-07-13",0,5,8,7
"2016-07-14",0,1,57,48
"2016-07-14",0,2,49,41
"2016-07-14",0,5,5,5
"2016-07-15",0,1,67,44
"2016-07-15",0,2,47,37
"2016-07-15",0,5,5,4
"2016-07-16",0,1,29,28
"2016-07-16",0,2,22,18
"2016-07-16",0,5,2,1
"2016-07-17",0,1,12,10
"2016-07-17",0,2,14,12
"2016-07-18",0,1,85,55
"2016-07-18",0,2,53,45
"2016-07-18",0,5,4,2
"2016-07-19",0,1,158,100
"2016-07-19",0,2,89,74
"2016-07-19",0,5,9,8
"2016-07-20",0,1,97,46
"2016-07-20",0,2,41,32
"2016-07-20",0,5,3,1
"2016-07-21",0,1,119,77
"2016-07-21",0,2,80,60
"2016-07-21",0,5,7,4
"2016-07-22",0,1,170,112
"2016-07-22",0,2,75,67
"2016-07-22",0,5,13,10
"2016-07-23",0,1,41,32
"2016-07-23",0,2,33,29
"2016-07-23",0,5,4,3
"2016-07-24",0,1,31,22
"2016-07-24",0,2,27,25
"2016-07-24",0,5,1,1
"2016-07-25",0,1,78,50
"2016-07-25",0,2,50,38
"2016-07-25",0,5,6,5
"2016-07-26",0,1,21,16
"2016-07-26",0,2,33,24
"2016-07-26",0,5,2,1
"2016-07-27",0,1,62,35
"2016-07-27",0,2,32,21
"2016-07-27",0,5,6,3
"2016-07-28",0,1,75,50
"2016-07-28",0,2,49,38
"2016-07-28",0,5,4,4
"2016-07-29",0,1,88,63
"2016-07-29",0,2,89,70
"2016-07-29",0,5,9,7
"2016-07-30",0,1,155,108
"2016-07-30",0,2,149,141
"2016-07-30",0,5,10,9
"2016-07-31",0,1,130,87
"2016-07-31",0,2,103,93
"2016-07-31",0,5,7,6
"2016-08-01",0,1,94,55
"2016-08-01",0,2,71,61
"2016-08-01",0,5,5,5
"2016-08-02",0,1,163,125
"2016-08-02",0,2,151,130
"2016-08-02",0,5,10,8
"2016-08-03",0,1,79,47
"2016-08-03",0,2,70,56
"2016-08-03",0,5,5,5
"2016-08-04",0,1,79,58
"2016-08-04",0,2,77,61
"2016-08-04",0,5,8,5
"2016-08-05",0,1,74,53
"2016-08-05",0,2,48,40
"2016-08-05",0,5,2,2
"2016-08-06",0,1,98,71
"2016-08-06",0,2,108,86
"2016-08-06",0,5,8,8
"2016-08-07",0,1,44,36
"2016-08-07",0,2,52,45
"2016-08-07",0,5,4,3
"2016-08-08",0,1,78,46
"2016-08-08",0,2,59,43
"2016-08-08",0,5,9,6
"2016-08-09",0,1,58,45
"2016-08-09",0,2,47,39
"2016-08-09",0,5,5,5
"2016-08-10",0,1,125,96
"2016-08-10",0,2,87,72
"2016-08-10",0,5,8,7
"2016-08-11",0,1,139,111
"2016-08-11",0,2,84,75
"2016-08-11",0,5,5,5
"2016-08-12",0,1,89,60
"2016-08-12",0,2,82,68
"2016-08-12",0,5,6,6
"2016-08-13",0,1,96,81
"2016-08-13",0,2,111,104
"2016-08-13",0,5,4,3
"2016-08-14",0,1,47,36
"2016-08-14",0,2,38,33
"2016-08-14",0,5,3,3
"2016-08-15",0,1,95,68
"2016-08-15",0,2,54,46
