ref_date,ref_hour,user_source,share_scene,share_count,share_user
2016/6/1,1100,0,1,1,1
2016/6/1,1200,0,1,2,1
2016/6/1,1200,0,2,2,2
2016/6/1,1300,0,1,4,2
2016/6/1,1300,0,2,6,6
2016/6/1,1400,0,1,4,3
2016/6/1,1400,0,2,1,1
2016/6/1,1900,0,1,17,10
2016/6/1,1900,0,2,8,5
2016/6/1,1900,0,5,5,3
2016/6/1,2000,0,1,27,20
2016/6/1,2000,0,2,11,10
2016/6/1,2000,0,5,1,1
2016/6/1,2100,0,1,20,18
2016/6/1,2100,0,2,32,29
2016/6/1,2100,0,5,1,1
2016/6/1,2200,0,1,15,13
2016/6/1,2200,0,2,10,9
2016/6/1,2200,0,5,1,1
2016/6/1,2300,0,1,18,13
2016/6/1,2300,0,2,2,2
2016/6/2,0,0,1,7,5
2016/6/2,0,0,2,1,1
2016/6/2,200,0,5,2,1
2016/6/2,300,0,1,1,1
2016/6/2,500,0,1,1,1
2016/6/2,500,0,2,1,1
2016/6/2,600,0,1,5,4
2016/6/2,600,0,2,1,1
2016/6/2,700,0,1,9,8
2016/6/2,700,0,2,1,1
2016/6/2,800,0,1,6,6
2016/6/2,800,0,2,1,1
2016/6/2,900,0,1,7,7
2016/6/2,900,0,2,4,4
2016/6/2,1000,0,1,9,7
2016/6/2,1000,0,2,2,2
2016/6/2,1000,0,5,1,1
2016/6/2,1100,0,1,5,5
2016/6/2,1100,0,2,2,2
2016/6/2,1200,0,1,2,2
2016/6/2,1200,0,2,2,2
2016/6/2,1300,0,1,1,1
2016/6/2,1300,0,2,1,1
2016/6/2,1400,0,5,1,1
2016/6/2,1500,0,1,1,1
2016/6/2,1500,0,2,2,1
2016/6/2,1600,0,1,2,2
2016/6/2,1600,0,2,1,1
2016/6/2,1600,0,5,1,1
2016/6/2,1700,0,2,1,1
2016/6/2,1700,0,5,1,1
2016/6/2,1900,0,1,13,6
2016/6/2,1900,0,2,8,4
2016/6/2,1900,0,5,1,1
2016/6/2,2000,0,2,4,4
2016/6/2,2100,0,1,5,4
2016/6/2,2100,0,2,10,10
2016/6/2,2200,0,1,8,6
2016/6/2,2200,0,2,9,7
2016/6/2,2300,0,1,4,4
2016/6/2,2300,0,2,2,2
2016/6/3,0,0,1,1,1
2016/6/3,100,0,1,1,1
2016/6/3,200,0,1,2,1
2016/6/3,400,0,2,1,1
2016/6/3,500,0,1,1,1
2016/6/3,600,0,1,3,2
2016/6/3,600,0,2,3,3
2016/6/3,700,0,2,3,3
2016/6/3,800,0,2,1,1
2016/6/3,900,0,1,2,2
2016/6/3,900,0,2,1,1
2016/6/3,1000,0,1,1,1
2016/6/3,1000,0,2,1,1
2016/6/3,1100,0,2,1,1
2016/6/3,1700,0,1,1,1
2016/6/3,1800,0,1,1,1
2016/6/3,2000,0,1,8,5
2016/6/3,2000,0,2,7,4
2016/6/3,2000,0,5,1,1
2016/6/3,2100,0,1,6,6
2016/6/3,2100,0,2,4,3
2016/6/3,2100,0,5,1,1
2016/6/3,2200,0,1,9,5
2016/6/3,2200,0,2,4,4
2016/6/3,2200,0,5,2,1
2016/6/3,2300,0,1,1,1
2016/6/4,0,0,1,1,1
2016/6/4,600,0,1,1,1
2016/6/4,600,0,2,2,1
2016/6/4,800,0,1,7,6
2016/6/4,800,0,2,5,5
2016/6/4,900,0,1,5,5
2016/6/4,900,0,2,9,7
2016/6/4,1000,0,1,2,1
2016/6/4,1000,0,2,1,1
2016/6/4,1100,0,1,2,2
2016/6/4,1100,0,2,1,1
2016/6/4,1300,0,1,3,2
2016/6/4,1400,0,1,3,3
2016/6/4,1400,0,2,1,1
2016/6/4,1500,0,1,3,2
2016/6/4,1500,0,2,2,2
2016/6/4,1500,0,5,1,1
2016/6/4,1600,0,2,2,2
2016/6/4,1700,0,1,15,11
2016/6/4,1700,0,2,4,4
2016/6/4,1800,0,1,4,4
2016/6/4,1800,0,2,1,1
2016/6/4,1800,0,5,1,1
2016/6/4,1900,0,1,4,4
2016/6/4,2000,0,1,3,3
2016/6/4,2000,0,2,1,1
2016/6/4,2100,0,1,5,3
2016/6/4,2100,0,2,3,3
2016/6/4,2200,0,1,2,2
2016/6/4,2200,0,2,2,2
2016/6/4,2300,0,1,1,1
2016/6/4,2300,0,2,1,1
2016/6/5,0,0,1,2,1
2016/6/5,0,0,2,2,2
2016/6/5,100,0,1,1,1
2016/6/5,700,0,1,2,2
2016/6/5,700,0,2,1,1
2016/6/5,800,0,1,2,1
2016/6/5,800,0,2,1,1
2016/6/5,900,0,1,6,3
2016/6/5,900,0,2,3,3
2016/6/5,1100,0,1,1,1
2016/6/5,1100,0,2,1,1
2016/6/5,1200,0,1,3,3
2016/6/5,1200,0,2,3,3
2016/6/5,1200,0,5,1,1
2016/6/5,1300,0,2,2,2
2016/6/5,1500,0,1,1,1
2016/6/5,1500,0,5,1,1
2016/6/5,1700,0,1,2,2
2016/6/5,1800,0,1,1,1
2016/6/5,1800,0,2,1,1
2016/6/5,1900,0,1,8,3
2016/6/5,1900,0,2,7,4
2016/6/5,2000,0,1,12,9
2016/6/5,2000,0,2,12,5
2016/6/5,2000,0,5,6,4
2016/6/5,2100,0,1,57,14
2016/6/5,2100,0,2,20,13
2016/6/5,2200,0,1,3,3
2016/6/5,2200,0,2,8,8
2016/6/5,2200,0,5,1,1
2016/6/5,2300,0,1,3,3
2016/6/5,2300,0,2,1,1
2016/6/6,0,0,2,1,1
2016/6/6,100,0,2,1,1
2016/6/6,400,0,2,1,1
2016/6/6,800,0,1,2,1
2016/6/6,900,0,1,4,2
2016/6/6,900,0,5,1,1
2016/6/6,1000,0,5,1,1
2016/6/6,1100,0,1,2,2
2016/6/6,1200,0,1,2,2
2016/6/6,1400,0,1,3,3
2016/6/6,1400,0,5,1,1
2016/6/6,1500,0,1,1,1
2016/6/6,1500,0,2,1,1
2016/6/6,1500,0,5,2,2
2016/6/6,1600,0,1,1,1
2016/6/6,1600,0,2,1,1
2016/6/6,2000,0,1,6,5
2016/6/6,2000,0,2,3,2
2016/6/6,2100,0,1,4,3
2016/6/6,2100,0,2,22,10
2016/6/6,2100,0,5,2,1
2016/6/6,2200,0,1,2,2
2016/6/6,2200,0,2,2,2
2016/6/6,2300,0,1,7,6
2016/6/6,2300,0,2,5,4
2016/6/6,2300,0,5,2,1
2016/6/7,0,0,1,1,1
2016/6/7,0,0,2,6,3
2016/6/7,100,0,1,1,1
2016/6/7,600,0,2,1,1
2016/6/7,700,0,1,1,1
2016/6/7,700,0,2,1,1
2016/6/7,800,0,2,2,2
2016/6/7,900,0,1,2,2
2016/6/7,900,0,2,3,2
2016/6/7,1000,0,1,3,2
2016/6/7,1000,0,2,2,2
2016/6/7,1000,0,5,1,1
2016/6/7,1200,0,1,2,2
2016/6/7,1200,0,2,1,1
2016/6/7,1300,0,1,2,2
2016/6/7,1400,0,1,1,1
2016/6/7,1600,0,2,1,1
2016/6/7,1700,0,2,2,2
2016/6/7,1900,0,2,6,1
2016/6/7,2000,0,1,9,6
2016/6/7,2000,0,2,5,2
2016/6/7,2000,0,5,2,1
2016/6/7,2100,0,1,4,4
2016/6/7,2100,0,2,6,4
2016/6/7,2100,0,5,1,1
2016/6/7,2200,0,1,3,3
2016/6/7,2200,0,2,5,5
2016/6/7,2300,0,1,4,4
2016/6/7,2300,0,2,4,4
2016/6/8,0,0,1,1,1
2016/6/8,300,0,2,1,1
2016/6/8,700,0,1,3,3
2016/6/8,700,0,2,2,2
2016/6/8,700,0,5,1,1
2016/6/8,800,0,1,1,1
2016/6/8,800,0,2,3,3
2016/6/8,900,0,1,3,3
2016/6/8,900,0,2,2,2
2016/6/8,1100,0,1,3,3
2016/6/8,1100,0,2,1,1
2016/6/8,1400,0,1,1,1
2016/6/8,1500,0,1,1,1
2016/6/8,1700,0,1,1,1
2016/6/8,1800,0,1,3,2
2016/6/8,1800,0,2,4,4
2016/6/8,1900,0,1,16,7
2016/6/8,1900,0,2,11,5
2016/6/8,1900,0,5,1,1
2016/6/8,2000,0,2,1,1
2016/6/8,2100,0,2,2,2
2016/6/8,2200,0,1,1,1
2016/6/8,2200,0,2,6,1
2016/6/8,2300,0,2,2,2
