"ref_date","user_source","new_user","cancel_user"
"2016-05-31",0,0,0
"2016-05-31",30,3,0
"2016-06-01",0,23,5
"2016-06-01",1,9,0
"2016-06-01",17,123,0
"2016-06-01",30,75,2
"2016-06-01",43,5,0
"2016-06-01",57,44,0
"2016-06-02",0,4,5
"2016-06-02",1,10,1
"2016-06-02",17,17,0
"2016-06-02",30,50,0
"2016-06-02",43,1,0
"2016-06-02",57,40,0
"2016-06-03",0,1,3
"2016-06-03",1,1,0
"2016-06-03",17,6,0
"2016-06-03",30,17,0
"2016-06-03",43,2,0
"2016-06-03",57,4,0
"2016-06-04",0,3,0
"2016-06-04",17,96,0
"2016-06-04",30,7,0
"2016-06-04",43,2,0
"2016-06-04",57,23,0
"2016-06-05",0,9,7
"2016-06-05",1,13,0
"2016-06-05",17,137,0
"2016-06-05",30,28,0
"2016-06-05",43,4,0
"2016-06-05",57,36,1
"2016-06-06",0,17,9
"2016-06-06",1,11,0
"2016-06-06",17,135,0
"2016-06-06",30,26,0
"2016-06-06",43,1,0
"2016-06-06",57,8,0
"2016-06-07",0,5,12
"2016-06-07",1,2,0
"2016-06-07",17,74,0
"2016-06-07",30,19,0
"2016-06-07",43,1,0
"2016-06-07",57,10,0
"2016-06-08",0,4,8
"2016-06-08",17,13,0
"2016-06-08",30,3,0
"2016-06-08",43,3,0
"2016-06-08",57,8,0
"2016-06-09",0,0,0
"2016-06-09",17,3,0
"2016-06-09",30,1,0
"2016-06-09",57,1,0
"2016-06-10",0,0,0
"2016-06-10",1,1,0
"2016-06-10",30,1,0
"2016-06-11",0,1,5
"2016-06-11",17,1,0
"2016-06-11",30,1,0
"2016-06-11",43,1,0
"2016-06-12",0,2,3
"2016-06-12",1,2,0
"2016-06-12",17,21,0
"2016-06-12",30,2,0
"2016-06-12",43,1,0
"2016-06-13",0,1,3
"2016-06-13",17,4,0
"2016-06-13",30,1,0
"2016-06-13",57,3,0
"2016-06-14",0,4,2
"2016-06-14",1,1,0
"2016-06-14",17,1,0
"2016-06-14",30,16,0
"2016-06-14",43,1,0
"2016-06-14",57,14,0
"2016-06-15",0,2,7
"2016-06-15",17,36,0
"2016-06-15",30,7,0
"2016-06-15",57,10,0
"2016-06-16",0,0,2
"2016-06-16",17,6,0
"2016-06-16",30,9,0
"2016-06-16",43,2,0
"2016-06-16",57,5,0
"2016-06-17",0,3,7
"2016-06-17",17,15,0
"2016-06-17",30,2,0
"2016-06-17",57,3,0
"2016-06-18",0,2,5
"2016-06-18",30,2,0
"2016-06-18",57,2,0
"2016-06-19",0,0,4
"2016-06-19",17,3,0
"2016-06-19",57,1,0
"2016-06-20",0,2,1
"2016-06-20",1,2,1
"2016-06-20",17,7,0
"2016-06-20",30,3,0
"2016-06-21",0,0,4
"2016-06-21",1,1,0
"2016-06-21",17,7,0
"2016-06-21",30,5,0
"2016-06-21",43,1,0
"2016-06-21",57,5,0
"2016-06-22",0,1,1
"2016-06-22",1,5,1
"2016-06-22",17,13,0
"2016-06-22",30,2,0
"2016-06-22",57,5,0
"2016-06-23",0,0,1
"2016-06-23",1,2,1
"2016-06-23",17,5,0
"2016-06-23",30,2,0
"2016-06-23",43,2,0
"2016-06-23",57,2,0
"2016-06-24",0,0,2
"2016-06-24",1,2,0
"2016-06-24",17,13,0
"2016-06-24",30,1,0
"2016-06-24",57,2,0
"2016-06-25",0,0,1
"2016-06-25",17,1,0
"2016-06-25",30,1,0
"2016-06-25",57,2,0
"2016-06-26",0,1,2
"2016-06-26",30,2,0
"2016-06-27",0,1,1
"2016-06-27",17,12,0
"2016-06-27",30,2,0
"2016-06-27",43,2,0
"2016-06-27",57,2,0
"2016-06-28",0,2,1
"2016-06-28",17,2,0
"2016-06-28",30,1,0
"2016-06-28",57,3,0
"2016-06-29",0,5,9
"2016-06-29",1,2,0
"2016-06-29",17,18,0
"2016-06-29",30,5,0
"2016-06-29",43,2,0
"2016-06-29",57,4,0
"2016-06-30",0,2,4
"2016-06-30",1,1,0
"2016-06-30",17,7,0
"2016-06-30",43,4,0
"2016-06-30",57,4,0
